code,name_es,name_en,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_mg_100g
2327,"Cardo, tallo, en conserva","Cardoon, stalk, canned",13.81,0.76,2.4,0.11,1.7,180.0
2680,Carne picada,Mincemeat,243.13,15.22,0.0,20.5,0.0,600.0
811,"Carpa, al horno","Carp, baked",148.58,20.4,0.0,7.43,0.0,60.0
812,"Carpa, cruda","Carp, raw",115.89,17.75,0.0,4.95,0.0,40.0
2187,"Castaña, cruda",Chestnut,178.53,2.65,36.5,2.52,6.7,10.0
935,"Castaña, tostada","Chestnut, roasted",224.43,4.0,39.7,5.3,7.1,10.0
2436,Cava,"Sparkling wine, ""cava"" type",69.98,0.2,1.5,0.0,0.0,0.0
2338,Caviar,Caviar,274.5,24.6,4.0,17.9,0.0,1500.0
1014,"Cebada, cruda","Barley, raw",321.68,10.6,64.0,2.1,14.8,0.0
2382,"Cebolla, asada","Onion, roasted",37.97,1.17,7.74,0.2,1.45,0.0
2383,"Cebolla, hervida","Onion, boiled",18.36,0.6,3.7,0.1,0.7,0.0
850,"Cebollino, crudo","Chive, raw",24.55,3.0,1.9,0.53,2.3,0.0
2256,Cecina,Couring beef,242.47,39.0,0.0,9.5,0.0,2100.0
1187,"Centeno, crudo","Rye, raw",406.48,14.8,79.8,2.5,14.6,10.0
2328,"Centollo, crudo","Crab, raw",127.65,20.1,0.0,5.2,0.0,370.0
2257,"Cerdo, chuleta, crudo","Pork, chop, raw",209.85,19.0,0.0,15.0,0.0,70.0
2258,"Cerdo, costilla, crudo","Pork, rib, raw",278.18,17.1,0.0,23.6,0.0,70.0
688,"Cerdo, lomo, asado","Pork, loin, roasted",235.9,27.0,0.0,14.27,0.0,60.0
2259,"Cerdo, lomo, crudo","Pork, loin, raw",151.84,18.0,0.0,8.9,0.0,60.0
2260,"Cerdo, panceta, cruda","Bacon, raw",464.91,12.5,0.5,46.6,0.0,1470.0
2261,"Cerdo, parte sin especificar","Pork, not specified part",270.84,16.6,0.0,23.0,0.0,760.0
689,"Cerdo, pierna, cruda, con grasa separable","Pork, leg, raw, with separable fat",211.62,19.0,0.0,15.2,0.0,80.0
961,"Cerdo, solomillo, asado","Pork, sirloin, roasted",158.59,28.8,0.0,4.7,0.0,70.0
1021,"Cerdo, solomillo, crudo","Pork, sirloin, raw",130.43,21.0,0.0,5.1,0.0,50.0
2666,Cereales base trigo y chocolate,"Breakfast cereals, wheat and chocolate",383.72,8.0,81.0,2.5,4.5,400.0
1018,Cereales desayuno base de arroz chocolateado,"Breakfast cereal, rice with chocolate",385.97,6.0,86.6,1.1,1.7,400.0
1026,Cereales desayuno base de arroz y miel,"Breakfast cereal, rice with honey",383.05,5.1,87.0,1.0,1.0,0.0
1028,"Cereales desayuno base de arroz, trigo y fruta","Breakfast cereal, rice, wheat and fruit",354.25,5.8,76.6,2.2,5.8,800.0
1031,Cereales desayuno base de maíz y miel,"Breakfast cereal, corn with honey",392.57,6.0,83.0,3.5,3.0,500.0
1032,Cereales desayuno base de maíz y trigo,"Breakfast cereal, corn and wheat",379.21,6.0,80.8,3.0,3.4,600.0
1188,"Cereales desayuno base de maíz, trigo y avena","Breakfast cereal, corn, wheat and oat",414.03,6.2,80.9,6.8,2.4,200.0
1034,Cereales desayuno base de trigo azucarado,"Breakfast cereal, wheat with sugar",383.01,7.0,84.0,1.5,3.5,10.0
1035,Cereales desayuno base de trigo y arroz,"Breakfast cereal, wheat and rice",378.59,16.0,75.0,1.0,2.5,790.0
1036,Cereales desayuno base de trigo y frutas,"Breakfast cereal, wheat and fruit",365.2,8.0,71.0,5.0,1.8,600.0
1038,Cereales desayuno base de trigo y miel,"Breakfast cereal, wheat and honey",394.86,5.7,88.0,1.6,1.5,0.0
1039,"Cereales desayuno base de trigo, avena, maiz y miel","Breakfast cereal, wheat, oat, corn and honey",396.82,8.0,79.0,4.9,3.0,0.0
1040,"Cereales desayuno base de trigo, avena, maíz, miel y nueces","Breakfast cereal, wheat, oat, corn, honey and nuts",390.97,11.0,80.0,2.4,4.4,780.0
2155,Cereales desayuno base muesli,"Breakfast cereal, granola",370.22,10.3,65.8,6.9,6.1,40.0
1042,"Cereales desayuno, maíz azucarado","Breakfast cereal, corn with sugar",380.26,4.5,88.0,0.5,1.5,0.0
1119,"Cereales para el desayuno, ricos en fibra, tipo ""all-bran""","Breakfast cereal, whole wheat, ""all bran"" type",266.04,14.0,45.6,2.7,29.0,800.0
2667,"Cereales, en polvo, solubles (eko)","Soluble cereals, powder",391.33,5.7,89.7,0.42,2.3,0.0
2220,Cereza,Cherry,62.52,0.8,13.5,0.5,1.5,0.0
2437,Cerveza con alcohol,Beer,42.16,0.5,3.12,0.0,0.0,0.0
2438,Cerveza sin alcohol,Non-alcoholic beer,25.75,0.38,5.4,0.0,0.0,0.0
2439,"Cerveza, baja en alcohol","Beer, low alcohol",33.6,0.2,2.1,0.0,0.0,10.0
2384,Champiñon,Mushroom (champignon),26.22,1.8,4.0,0.3,2.5,10.0
2385,Champiñones en conserva,"Mushrooms, canned",13.85,2.25,0.07,0.5,1.5,320.0
2221,"Chayote, crudo","Chayote, raw",22.81,0.82,4.51,0.13,1.7,0.0
2649,"Chicle, sin azúcar",Chewing gum,2.65,0.0,0.0,0.3,0.0,10.0
793,"Chile, rojo","Chili pepper, red",33.6,1.0,6.4,0.4,1.9,10.0
794,"Chile, verde","Chili pepper, green",16.47,0.8,2.6,0.3,1.9,10.0
2329,Chipiron,Baby squid,81.25,16.25,0.7,1.4,0.0,110.0
2222,Chirimoya,Custard apple,87.09,1.0,20.0,0.2,1.9,0.0
2330,Chirla,Baby clam,47.0,10.7,0.0,0.5,0.0,600.0
2262,Chistorra,Chistorra sausage,512.4,15.3,0.9,50.5,0.0,890.0
2650,Chocolate blanco,White chocolate,544.67,8.0,58.8,30.9,0.8,110.0
2651,Chocolate con leche,Milk chocolate,535.72,9.19,54.1,31.5,0.8,60.0
776,Chocolate con leche y almendras,Chocolate with milk and almonds,546.8,8.6,49.8,35.0,3.9,110.0
777,Chocolate con leche y arroz,Chocolate with milk and rice,514.56,6.4,63.0,26.3,1.6,100.0
778,Chocolate con nueces de macadamia,Chocolate with macadamian nuts,587.48,7.1,47.6,41.3,1.8,110.0
781,"Chocolate negro, con almendras","Chocolate, bitter, with almonds",532.67,8.2,41.5,37.4,9.1,110.0
782,"Chocolate negro, con azúcar","Chocolate bitter, with sugar",529.4,2.0,63.0,30.0,,20.0
788,"Chocolate, negro","Chocolate, bitter",540.61,4.7,64.8,29.2,,10.0
2263,Choped pork,Pork luncheon meat,307.84,14.0,3.0,27.0,0.0,670.0
2264,Chorizo,Chorizo,321.7,27.0,1.9,23.1,0.0,1060.0
971,"Chufa, cruda","Tigger nut, raw",407.69,6.13,42.54,23.74,17.4,40.0
2668,Churro,Cruller,358.08,4.6,40.0,20.0,1.2,0.0
962,"Ciervo, parte s/e, crudo, con grasa separable","Deer, piece n/e, raw, with separable fat",104.35,22.2,0.0,1.6,0.0,60.0
2331,Cigala,Scampi,86.33,17.7,0.5,1.4,0.0,400.0
1172,"Ciruela, con piel, cruda","Yellow plum, with skin, raw",53.57,0.75,12.0,0.2,2.3,0.0
908,"Coco, desecado","Coconut, dried",586.04,6.2,11.8,58.0,17.0,40.0
909,"Coco, fresco","Coconut, raw",371.42,3.3,15.2,33.5,9.0,20.0
2386,"Col blanca, cruda","Cabbage, white, raw",35.75,4.3,2.54,0.9,4.2,40.0
1180,"Col de bruselas, cruda","Brussels sprout, frozen",34.89,4.0,3.5,0.5,4.3,10.0
1178,"Col lombarda, hervida","Red cabbage, boiled",17.89,1.0,2.75,0.3,2.4,0.0
852,"Col rizada, cruda","Savoy cabbage, raw",33.65,3.4,1.4,1.6,3.3,10.0
859,"Coliflor, congelada, cruda","Cauliflower, frozen, raw",18.21,2.0,2.1,0.17,2.3,20.0
2387,"Coliflor, hervida","Cauliflower, boiled",27.2,2.76,2.04,0.87,1.6,0.0
2571,Comino,Cumin,417.73,17.8,45.4,18.2,10.5,170.0
2572,Complejo vitaminico,Vitamin complex,564.35,20.15,18.78,45.93,0.0,0.0
1162,"Conejo de granja, carne, cruda","Farm rabbit, meat, raw",130.98,20.7,0.0,5.3,0.0,70.0
964,"Conejo, entero, estofado","Rabbit, whole, stewed",194.56,29.0,0.0,8.68,0.0,40.0
2332,Congrio,Conger,101.96,19.0,0.0,2.8,0.0,50.0
966,"Corazón de cordero, crudo","Heart, lamb, raw",118.3,16.5,0.21,5.7,0.0,90.0
970,"Corazón de pollo, crudo","Heart, chicken, raw",148.51,15.6,0.71,9.3,0.0,110.0
2265,"Corazon de vaca, crudo","Beef (cow), heart, raw",104.45,17.0,0.0,4.0,0.0,90.0
972,"Corazón, de cerdo, crudo","Pork, heart, raw",114.48,17.3,1.3,4.4,0.0,80.0
973,"Corazón, de vaca/buey, cocido","Beef (cow/ox), heart, boiled",163.46,27.9,0.0,5.67,0.0,100.0
1024,"Corazón, de vaca/buey, crudo","Beef (cow/ox), heart, raw",104.04,17.0,0.0,3.95,0.0,90.0
2712,"Cordero lechal, costillar, asado","Suckling lamb, ribs, roasted",233.71,21.63,0.0,16.49,0.0,100.0
2688,"Cordero lechal, costillar, crudo","Suckling lamb, ribs, raw",191.2,18.46,0.0,13.14,,90.0
2689,"Cordero lechal, espalda, cruda","Suckling lamb, back, raw",188.72,19.46,0.0,12.4,,80.0
2690,"Cordero lechal, pierna, cruda","Suckling lamb, leg, raw",186.92,19.19,0.0,12.32,,80.0
2713,"Cordero ligero, costillar, asado","Light lamb, ribs, roasted",272.81,21.59,0.0,20.93,0.0,80.0
2691,"Cordero ligero, costillar, crudo","Light lamb, ribs, raw",233.38,17.26,0.0,18.46,,80.0
2692,"Cordero ligero, espalda, cruda","Light lamb, back, raw",200.22,17.61,0.0,14.55,,80.0
2693,"Cordero ligero, pierna, cruda","Light lamb, leg, raw",183.68,18.98,0.0,12.05,,70.0
2266,"Cordero, costilla, crudo","Lamb, rib, raw",241.13,15.6,0.0,20.1,0.0,70.0
2267,"Cordero, parte sin especificar","Lamb, not specified part",352.56,15.6,0.0,32.7,0.0,70.0
974,"Cordero, pierna, con grasa, asada","Lamb, leg, with separable fat, baked",221.75,25.0,0.0,13.59,0.0,60.0
2574,Corteza de trigo,Wheat crusts,481.9,10.26,52.19,25.8,6.25,1230.0
2483,Crema catalana,Catalan creme,103.58,3.7,15.48,2.9,,80.0
2188,Crema de almendras,"Almond, cream",377.99,4.6,59.7,13.2,0.5,0.0
979,Crema de cacahuete,Peanut butter,599.6,25.5,11.2,50.94,7.0,310.0
783,Crema de chocolate con avellanas,Chocolate paste with hazelnuts,541.38,5.4,56.02,33.0,1.1,90.0
903,Crema de chocolate y nata,Chocolate and cream pudding,86.14,3.9,9.9,3.4,0.5,60.0
902,"Crema de chocolate, baja en calorías","Chocolate cream, low calorie",74.86,3.6,13.9,3.4,0.4,60.0
901,Crema de coco,Coconut cream,124.02,2.9,19.1,3.5,0.01,60.0
877,Crema de vainilla y mousse de chocolate,Vanilla cream and chocolate mousse,130.88,4.0,22.5,6.5,,60.0
784,Crema inglesa,English custard,123.1,5.5,11.9,5.93,0.0,80.0
