code,name_it,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g
009650,Olio di girasole,899.0,0.0,0.0,99.9,0.0,0.0,0.0
009660,Olio di mais,899.0,0.0,0.0,99.9,0.0,0.0,0.0
009670,Olio di mandorle dolci,899.0,0.0,0.0,99.9,0.0,0.0,0.0
009200,Olio di oliva,899.0,0.0,0.0,99.9,0.0,0.0,0.0
009210,Olio di oliva extra vergine,899.0,0.0,0.0,99.9,0.0,0.0,0.0
009680,Olio di palma,899.0,0.0,0.0,99.9,0.0,0.0,0.0
009690,Olio di sesamo,899.0,0.0,0.0,99.9,0.0,0.0,
009700,Olio di soia,899.0,0.0,0.0,99.9,0.0,0.0,0.0
009710,Olio di vinacciolo,899.0,0.0,0.0,99.9,0.0,0.0,0.0
008850,Oliva Giarraffa,192.0,1.4,0.19,20.0,2.6,0.19,1576.0
008840,Oliva Nocellara del Belice,211.0,1.4,0.06,22.1,3.3,0.06,1274.0
008800,Olive da tavola conservate,277.0,1.5,5.0,27.0,4.4,5.0,
008810,"Olive, nere",243.0,1.6,0.8,25.1,3.9,0.8,54.0
008820,"Olive, verdi",148.0,0.8,1.0,15.0,3.0,1.0,
008830,"Olive, verdi, in salamoia",113.0,1.2,1.0,11.0,2.8,1.0,
121730,"Orata d'allevamento, filetti",159.0,19.7,1.2,8.4,0.0,1.2,
121720,"Orata, filetti",121.0,20.7,1.0,3.8,0.0,1.0,
121710,"Orata, surgelata",94.0,19.8,1.0,1.2,0.0,1.0,
000090,Orzo perlato,346.0,9.4,73.7,1.5,9.2,1.5,3.0
000095,"Orzo perlato, cotto, bollito",118.0,2.6,26.4,0.6,1.8,1.2,2.0
127130,Ostrica,69.0,10.2,5.4,0.9,0.0,0.5,510.0
121800,Pagello,101.0,21.0,0.0,1.9,0.0,0.0,120.0
121900,Pagello bocca d'oro,118.0,20.0,3.0,3.0,0.0,3.0,120.0
122000,Palombo,80.0,16.0,1.3,1.2,0.0,1.3,61.0
110320,Pancetta arrotolata,530.0,15.1,0.0,52.2,0.0,,1200.0
110300,Pancetta magretta,314.0,21.7,0.0,25.3,0.0,0.0,1686.0
110310,Pancetta tesa,337.0,20.9,0.0,28.1,0.0,0.0,1016.0
000500,Pane al malto,278.0,8.3,56.6,2.4,5.5,26.1,280.0
000600,Pane azzimo,365.0,10.7,81.7,1.0,3.5,1.9,
000530,Pane bianco,268.0,8.1,59.5,0.5,3.8,2.0,293.0
000510,Pane di segale,228.0,8.3,45.4,1.7,4.6,1.8,580.0
000550,Pane di tipo integrale,224.0,8.5,44.1,1.3,6.5,2.0,511.0
000540,Pane di tipo semintegrale,239.0,8.3,52.0,0.3,4.2,2.2,
000560,Pane formato rosetta,275.0,9.0,57.6,1.9,3.1,7.5,317.0
216000,Panettone,337.0,6.4,56.2,10.7,2.1,22.9,
000570,Pangrattato,357.0,10.1,77.8,2.1,3.2,5.0,400.0
000580,Panini al latte,298.0,9.0,48.1,8.7,1.9,2.7,460.0
000590,Panini all'olio,288.0,7.7,52.6,5.8,3.7,4.0,
119070,"Panino con hamburger piccolo, fast food",254.0,15.6,29.0,8.9,1.2,4.7,
119060,"Panino, fast food",248.0,10.1,47.0,3.0,2.0,7.5,
140400,"Panna da cucina, sterilizzata, 23% di lipidi",233.0,2.7,4.0,23.0,0.0,4.0,
140300,"Panna da montare, 35% di lipidi",337.0,2.3,3.4,35.0,0.0,3.4,34.0
007600,"Papaia, fresca",33.0,0.4,6.9,0.1,2.3,6.9,7.0
507100,Pappa reale,146.0,10.0,14.0,6.0,0.0,14.0,
166000,Parmigiano Reggiano DOP,397.0,32.4,0.0,29.7,0.0,0.0,600.0
007610,"Passiflora, fresca",64.0,3.0,5.7,0.3,13.9,5.7,19.0
000870,"Pasta all'uovo, secca",346.0,13.0,71.0,2.4,3.2,2.0,17.0
000871,"Pasta all'uovo, secca, cotta, bollita",123.0,4.6,25.5,0.8,1.1,0.17,18.0
217000,Pasta di mandorle,455.0,9.9,54.6,23.4,,54.6,
000800,Pasta di semola,341.0,13.5,72.7,1.2,1.7,2.2,4.0
000805,"Pasta di semola, cotta, bollita",175.0,6.9,37.3,0.6,0.9,1.1,2.0
000850,"Pasta di semola, integrale",330.0,13.3,64.8,2.2,7.1,3.0,11.0
000855,"Pasta di semola, integrale, cotta, bollita",182.0,7.4,36.0,1.2,3.5,1.7,6.0
006584,"Patate novelle, cotte, al microonde",72.0,2.0,15.7,0.3,1.4,0.2,10.0
006585,"Patate novelle, cotte, bollite",68.0,1.9,14.9,0.2,1.4,0.2,
006580,"Patate novelle, crude",72.0,2.0,15.7,0.3,1.4,0.2,10.0
006505,"Patate, con buccia, cotte, bollite",88.0,2.1,17.9,1.0,1.6,0.4,7.0
006514,"Patate, cotte, al microonde",88.0,2.1,17.9,1.0,1.6,0.4,7.0
006511,"Patate, cotte, arrosto",152.0,2.9,25.7,4.5,1.8,0.6,9.0
006500,"Patate, crude",72.0,2.0,16.0,0.1,1.8,1.0,7.0
006517,"Patate, fritte",192.0,3.9,29.9,6.7,2.2,0.6,12.0
006515,"Patate, senza buccia, cotte, bollite",74.0,1.8,16.9,0.1,1.3,0.4,7.0
006570,"Patatine, fritte, confezionate in busta",512.0,5.4,58.0,29.6,3.2,1.0,1070.0
119080,"Patatine, fritte, fast food",283.0,3.3,37.6,13.7,2.7,1.3,
114010,Patè di coniglio,346.0,13.0,1.1,32.2,0.0,,
114020,Patè di fegato,341.0,12.7,1.3,31.7,0.0,,790.0
114030,Patè di pollo,289.0,11.1,2.3,26.2,0.0,,
114040,Patè di prosciutto,358.0,11.3,1.1,34.3,0.0,,
104610,"Pecora, solo tessuto muscolare, crudo",121.0,21.0,0.0,4.1,0.0,0.0,
166050,Pecorino,404.0,28.8,0.2,32.0,0.0,0.2,1800.0
166060,Pecorino romano,409.0,26.0,1.8,33.1,0.0,1.8,1800.0
166070,Pecorino siciliano,427.0,28.9,2.4,33.6,0.0,2.4,450.0
006820,Pepe nero,311.0,11.4,49.0,3.3,25.9,,44.0
006830,"Peperoncini piccanti, freschi",30.0,1.8,3.8,0.5,2.0,1.5,7.0
005606,"Peperoni, cotti, in padella",143.0,5.2,24.3,1.5,8.7,24.3,
005600,"Peperoni, crudi",26.0,0.9,4.2,0.3,1.9,4.2,2.0
005624,"Peperoni, gialli, cotti, al microonde",41.0,1.1,8.1,0.2,2.3,8.1,9.0
005620,"Peperoni, gialli, crudi",35.0,0.9,6.8,0.2,1.9,6.8,17.0
005610,"Peperoni, rossi e gialli, crudi",35.0,0.9,6.7,0.3,1.9,6.7,
005634,"Peperoni, rossi, cotti, al microonde",42.0,1.1,7.9,0.4,2.3,7.9,24.0
005630,"Peperoni, rossi, crudi",34.0,0.9,6.5,0.3,1.9,6.5,16.0
005640,"Peperoni, verdi, crudi",31.0,0.7,6.0,0.2,1.9,6.0,
007270,"Pere, candite",294.0,1.0,73.9,0.4,4.5,73.9,
007261,"Pere, fresche, Abate Fetel",59.0,0.2,12.7,0.3,3.8,12.7,
007262,"Pere, fresche, Coscia",42.0,0.3,8.6,0.1,3.8,8.6,
007263,"Pere, fresche, Kaiser",48.0,0.3,9.2,0.5,3.8,9.2,
007264,"Pere, fresche, Max-Red Barlett",50.0,0.3,10.0,0.4,3.8,10.0,
007260,"Pere, fresche, senza buccia",43.0,0.3,8.8,0.1,3.8,8.8,2.0
007265,"Pere, fresche, William",52.0,0.3,10.2,0.5,3.8,10.2,
