code,name_en,group,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g
11-942,"Noodles, egg, thick, dried, boiled in unsalted water",AD,143.0,5.0,30.7,0.9,2.6,0,121.0
11-725,"Noodles, rice, fine, dried, boiled in unsalted water",AD,89.0,1.9,21.3,0.2,1.1,0,4.0
17-814,"Nougat, homemade",SEC,413.0,5.2,80.0,10.2,1.1,79.6,115.0
15-216,"Nut and rice roast, mixed nuts with egg, homemade",DR,333.0,12.1,23.5,21.9,,2.7,420.0
15-215,"Nut and rice roast, mixed nuts, homemade",DR,346.0,12.0,25.2,22.6,,2.9,440.0
15-218,"Nut and seed roast, mixed nuts and sunflower seeds with egg, homemade",DR,335.0,13.0,18.1,23.9,,2.7,300.0
15-217,"Nut and seed roast, mixed nuts and sunflower seeds, homemade",DR,349.0,12.9,19.6,24.9,,2.9,310.0
15-220,"Nut and vegetable roast, mixed nuts with egg, homemade",DR,304.0,11.3,18.3,21.2,,3.6,290.0
15-219,"Nut and vegetable roast, mixed nuts, homemade",DR,314.0,11.1,19.6,21.9,,3.8,300.0
15-208,"Nut croquettes, fried in sunflower oil, homemade",DR,351.0,9.3,21.6,26.2,,2.5,220.0
15-209,"Nut croquettes, fried in vegetable oil, homemade",DR,351.0,9.3,21.6,26.2,,2.5,220.0
15-210,"Nut cutlets, retail, fried in sunflower oil",DR,289.0,4.8,18.7,22.3,,1.3,210.0
15-211,"Nut cutlets, retail, fried in vegetable oil",DR,289.0,4.8,18.7,22.3,,1.3,210.0
15-212,"Nut cutlets, retail, grilled",DR,212.0,5.1,19.9,13.0,,1.4,220.0
15-643,"Nut roast, homemade",DR,335.0,13.2,18.8,23.5,,4.1,154.0
15-214,"Nut roast, mixed nuts with egg, homemade",DR,338.0,13.3,16.9,24.7,,3.0,330.0
15-221,"Nut, mushroom and rice roast, homemade",DR,260.0,7.8,24.3,15.3,,2.8,290.0
14-880,"Nuts, mixed",GA,581.0,23.8,11.6,49.1,,5.6,5.0
11-1100,"Oatcakes, homemade",AM,411.0,9.5,61.4,15.9,6.8,0.3,175.0
11-823,"Oatcakes, plain, retail",AM,453.0,9.3,62.8,20.0,9.4,3.2,796.0
16-259,"Octopus, raw",JM,83.0,17.9,0.0,1.3,,0,
17-031,"Oil, coconut",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
17-488,"Oil, cod liver",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
17-033,"Oil, corn",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
17-034,"Oil, cottonseed",OC,891.0,0.0,0.0,99.0,,0.0,0
17-035,"Oil, evening primrose",OC,899.0,0.0,0.0,99.9,0.0,0.0,0
